prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
B23_2-k141_43068_frag_1	B23_2-k141_43068	dormant	0.0011937799838607841	0.9739210019017869	-0.00028303885683552375	55211	0.010570094985561468	0.0	0.12540037438187873	0.007915089384361812	386985	0.010853133842396992	0.0	0.3109702552944938
C7_2-k141_70725_frag_1	C7_2-k141_70725	dormant	0.5785789977485037	0.0825770949469643	-0.46518086151845456	39383	0.04187085798440952	0.0	0.28920408977061846	0.027397608105019934	386856	0.5070517195028641	0.0	1.0996415781843683
D15_2-k141_8824_frag_1	D15_2-k141_8824	dormant	0.024867743247931985	0.0	-0.0022135312741107297	42544	0.0	0.0	0.0	0.0	375870	0.0022135312741107297	0.0	0.1258821887203101
C11_2-k141_174860_frag_1	C11_2-k141_174860	dormant	0.049844425131295146	0.0	-0.029409642249337	46764	0.0	0.0	0.0	0.0	332578	0.029409642249337	0.0	0.834426614892177
C3_2-k141_154052_frag_1	C3_2-k141_154052	dormant	0.04217537063607868	0.0	-0.01923215616510806	36830	0.0	0.0	0.0	0.0	332776	0.01923215616510806	0.0	0.6448876600768141
B23_2-k141_18787_frag_1	B23_2-k141_18787	dormant	0.05755574814108416	0.0	-0.019131869642938993	40282	0.0	0.0	0.0	0.0	327255	0.019131869642938993	0.0	0.47009291680608095
B11_2-k141_46719_frag_1	B11_2-k141_46719	dormant	0.038935311713483384	0.0	-0.004188343580601739	42688	0.0	0.0	0.0	0.0	219896	0.004188343580601739	0.0	0.15212957171507757
C8_2-k141_22197_frag_1	C8_2-k141_22197	dormant	0.0	0.0	0.0	55286	0.0	0.0	0.0	0.0	198487	0.0	0.0	0.0
C8_2-k141_7620_frag_1	C8_2-k141_7620	dormant	0.10843487443978733	0.0	-0.008749140926970263	40556	0.0	0.0	0.0	0.0	205163	0.008749140926970263	0.0	0.11410677442989554
C17_1-k141_118334_frag_1	C17_1-k141_118334	dormant	0.10430667799782892	0.0	-0.011399101773616502	132596	0.0	0.0	0.0	0.0	105096	0.011399101773616502	0.0	0.15455160337342164
C22_2-k141_37635_frag_1	C22_2-k141_37635	dormant	0.08178268743968165	0.0	-0.0054594308730281675	45685	0.0	0.0	0.0	0.0	187199	0.0054594308730281675	0.0	0.0944063031576121
C8_2-k141_23067_frag_1	C8_2-k141_23067	dormant	0.05300291528852251	3.4526275100197346	0.004220021760597751	49153	0.00594063434581816	0.0	0.10327627288643917	0.0035603116798567738	169707	0.0017206125852204093	0.0	0.04485841638134164
C2_2-k141_49953_frag_1	C2_2-k141_49953	dormant	0.06799889714237368	0.061837374073205435	-0.005676813091526299	45433	0.00037417736006867253	0.0	0.0193400452784647	0.00037417736006867253	172699	0.0060509904515949715	0.0	0.11646924736731681
A21_2-k141_684_frag_1	A21_2-k141_684	dormant	0.23554227905404684	0.0	-0.07144666550328468	38749	0.0	0.0	0.0	0.0	177643	0.07144666550328468	0.0	0.42897115433741145
D21_2-k141_44659_frag_1	D21_2-k141_44659	dormant	0.5604709564036594	0.0	-1.2746380970601365	57373	0.0	0.0	0.0	0.0	156810	1.2746380970601365	1.0	3.2162424535725846
B17_1-k141_12412_frag_1	B17_1-k141_12412	dormant	0.17701213842758204	0.0	-0.04202123739277838	34774	0.0	0.0	0.0	0.0	176387	0.04202123739277838	0.0	0.3357227609160769
A8_2-k141_88586_frag_1	A8_2-k141_88586	dormant	0.01353956814680351	0.6164124635701197	-0.0011156090111668908	34026	0.0017927467230941046	0.0	0.0423028696695741	0.0017927467230941046	177076	0.0029083557342609954	0.0	0.108575945273007
B13_2-k141_18069_frag_1	B13_2-k141_18069	dormant	0.06170398598028199	0.14912378321648195	-0.008822974250186244	54473	0.0015463063527419326	0.0	0.055589762026347224	0.0007710241771152681	154977	0.010369280602928176	0.0	0.19442563876806096
B13_2-k141_34719_frag_1	B13_2-k141_34719	dormant	0.040355725945242206	0.2842586623184437	-0.014847201686902066	49520	0.005896607431340873	0.0	0.10843636328961051	0.0029483037156704363	154986	0.020743809118242938	0.0	0.5088756360883517
A4_2-k141_49377_frag_1	A4_2-k141_49377	dormant	0.48513121133558407	0.24326631201591203	-0.6669584035127886	43814	0.21440635413338202	0.0	0.6906615933695657	0.11993883233669603	153639	0.8813647576461706	0.0	1.8174533842859768
D23_2-k141_36037_frag_1	D23_2-k141_36037	dormant	0.07047172141534022	0.0	-0.005587608503560476	38683	0.0	0.0	0.0	0.0	153912	0.005587608503560476	0.0	0.11213110121709534
B3_2-k141_45267_frag_1	B3_2-k141_45267	dormant	0.16284086738405068	0.34405369005453507	-0.1363833679133472	58471	0.07153512456919463	0.0	0.5264811603208785	0.02594448530040533	129166	0.20791849248254185	0.0	1.0609973084740745
A18_2-k141_49938_frag_1	A18_2-k141_49938	dormant	0.29453849569526647	0.009408881568507606	-0.2906926214767403	46721	0.0027610710387192053	0.0	0.05247330297819309	0.0027610710387192053	140690	0.2934536925154595	0.0	1.3947610485747755
C19_1-k141_57050_frag_1	C19_1-k141_57050	dormant	0.4253342125253562	0.0	-0.15716353667597552	29318	0.0	0.0	0.0	0.0	156124	0.15716353667597552	0.0	0.5225603737776814
A3_2-k141_19497_frag_1	A3_2-k141_19497	dormant	0.053176066555036386	1.3136051101386295	0.02275855603309071	45946	0.0953292996125887	0.0	0.4090150285735162	0.06618639272189092	137645	0.07257074357949798	0.0	0.44614900687909365
A9_2-k141_198554_frag_1	A9_2-k141_198554	dormant	0.017478300640143683	0.8880910577046104	-0.007444800015330266	44143	0.05908071494914256	0.0	0.32097807363921826	0.04197721042973971	139330	0.06652551496447283	0.0	0.5097370635731171
B11_2-k141_34741_frag_1	B11_2-k141_34741	dormant	0.2864387940523527	0.0	-0.12418382474056992	29351	0.0	0.0	0.0	0.0	151775	0.12418382474056992	0.0	0.613123825480772
C19_2-k141_15996_frag_1	C19_2-k141_15996	dormant	0.1334776758443835	46.4902728310805	0.4021087107487345	37106	0.41094815456218203	0.0	4.258879451536693	0.02279954724303347	141751	0.008839443813447524	0.0	0.11361965908686673
C21_2-k141_267729_frag_1	C21_2-k141_267729	dormant	0.09408505777242857	0.08020704547281285	-0.01722163870749547	36624	0.0015017474879860202	0.0	0.03872327778569999	0.0015017474879860202	141374	0.01872338619548149	0.0	0.2559496069296359
C15_1-k141_37478_frag_1	C15_1-k141_37478	dormant	0.06463586861065687	0.0	-0.004592217904166581	30352	0.0	0.0	0.0	0.0	145899	0.004592217904166581	0.0	0.10047636058803061
B9_2-k141_43405_frag_1	B9_2-k141_43405	dormant	0.5694128037375803	93.81310427836743	0.23502114494666346	45695	0.2375533428165007	0.0	0.5806139515680611	0.17586169165116533	128347	0.002532197869837238	0.0	0.060008299560990845
C20_2-k141_11996_frag_1	C20_2-k141_11996	dormant	0.05526936059639243	0.13335628254086954	-0.008218195531859894	37957	0.0012645888768870036	0.0	0.035538566260596774	0.0012645888768870036	133716	0.009482784408746897	0.0	0.207259579921314
C18_2-k141_3893_frag_1	C18_2-k141_3893	dormant	0.0	0.0	0.0	43758	0.0	0.0	0.0	0.0	124364	0.0	0.0	0.0
C7_1-k141_57264_frag_1	C7_1-k141_57264	dormant	0.09890169225565446	3.817710915178237	0.010719335118220274	50263	0.014523605833316754	0.0	0.11963557458760467	0.014523605833316754	112768	0.0038042707150964814	0.0	0.09581961538973012
C9_1-k141_9832_frag_1	C9_1-k141_9832	dormant	0.10015890525886845	0.0	-0.005351035269022838	53849	0.0	0.0	0.0	0.0	108764	0.005351035269022838	0.0	0.07555500562461274
C8_2-k141_4575_frag_1	C8_2-k141_4575	dormant	0.13630496627877509	0.10671789989987923	-0.029624339785429117	41253	0.0035391365476450196	0.0	0.059385276459267375	0.0035391365476450196	120886	0.033163476333074135	0.0	0.3015718521036478
B9_2-k141_28310_frag_1	B9_2-k141_28310	dormant	0.027422182143085106	0.0	-0.001127540168618507	40572	0.0	0.0	0.0	0.0	117069	0.001127540168618507	0.0	0.058149369377696866
C13_2-k141_14016_frag_1	C13_2-k141_14016	dormant	0.08048573071798325	0.0	-0.005802962614624971	50063	0.0	0.0	0.0	0.0	106325	0.005802962614624971	0.0	0.10196376871202377
C15_2-k141_10742_frag_1	C15_2-k141_10742	dormant	0.04159819899375266	0.2831259201793318	-0.0050057060356481515	68436	0.001976979175819348	0.0	0.07698720075961894	0.0006575486586007364	88075	0.0069826852114674995	0.0	0.1517690421791919
B23_1-k141_2672_frag_1	B23_1-k141_2672	dormant	0.02747835421488285	0.0	-0.0003773875000873582	9662	0.0	0.0	0.0	0.0	143089	0.0003773875000873582	0.0	0.01942279791285873
A19_2-k141_32326_frag_1	A19_2-k141_32326	dormant	0.2545808472462236	0.0	-0.22306758223454443	58860	0.0	0.0	0.0	0.0	93057	0.22306758223454443	0.0	1.239155276346296
