Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
SCV2-Week7-Mouse2	23200501	1108877	21626289	1574212
SCV2-Week7-Mouse3	35895687	2010743	33199471	2696216
SCV2-Week7-Mouse4	29441411	2356955	26530806	2910605
SCV2-Week7-Mouse5	452338	30104	396885	55453
SCV2-Week7-Mouse6	48597558	2596039	45268606	3328952
SCV2-Week7-Mouse7	34894548	2160499	32115968	2778580
SCV2-Week7-Mouse8	46084683	2168399	43268064	2816619
SCV2-Week7-Mouse9	21787161	1098315	20355658	1431503
SCV2-Week8-Mouse10-Cecum	16394421	1164234	14897841	1496580
SCV2-Week8-Mouse10-Small-Intestine	3985866	195463	3736026	249840
SCV2-Week8-Mouse10	34012061	2120087	31292163	2719898
SCV2-Week8-Mouse11-Cecum	28116461	1465590	26207889	1908572
SCV2-Week8-Mouse11-Small-Intestine	2191398	346783	1813947	377451
SCV2-Week8-Mouse11	6222690	268747	5845367	377323
SCV2-Week8-Mouse12-Cecum	22382148	1423421	20583862	1798286
SCV2-Week8-Mouse12-Small-Intestine	1101332	273030	798457	302875
SCV2-Week8-Mouse12	38372018	2194154	35582107	2789911
SCV2-Week8-Mouse13-Cecum	18055733	1006819	16742744	1312989
SCV2-Week8-Mouse13-Small-Intestine	2543094	543578	1954603	588491
SCV2-Week8-Mouse13	27840803	1547005	25857092	1983711
SCV2-Week8-Mouse14-Cecum	30417055	1675868	28238580	2178475
SCV2-Week8-Mouse14-Small-Intestine	755576	376789	356837	398739
SCV2-Week8-Mouse14	24511476	1362700	22750681	1760795
SCV2-Week8-Mouse15-Cecum	14783388	842104	13676192	1107196
SCV2-Week8-Mouse15-Small-Intestine	1713521	216224	1441653	271868
SCV2-Week8-Mouse15	38230873	2090836	35539387	2691486
SCV2-Week8-Mouse16-Cecum	29087688	2138151	26482072	2605616
SCV2-Week8-Mouse16-Small-Intestine	11472917	519713	10862164	610753
SCV2-Week8-Mouse16	6788641	498683	6166547	622094
SCV2-Week8-Mouse17-Cecum	30317601	1990856	27723904	2593697
SCV2-Week8-Mouse17-Small-Intestine	312992	267781	36959	276033
SCV2-Week8-Mouse17	25730888	1638845	23555183	2175705
SCV2-Week8-Mouse18-Cecum	19600285	1409978	17782346	1817939
SCV2-Week8-Mouse18-Small-Intestine	5054437	173793	4833657	220780
SCV2-Week8-Mouse18	8815950	561975	8055308	760642
SCV2-Week8-Mouse19-Cecum	8128953	575437	7331552	797401
SCV2-Week8-Mouse19	30243794	1952852	27685023	2558771
SCV2-Week8-Mouse1-Cecum	31010190	2131591	28288329	2721861
SCV2-Week8-Mouse1-Small-Intestine	5519478	203333	5247624	271854
SCV2-Week8-Mouse1	37505729	2078250	34788615	2717114
SCV2-Week8-Mouse20-Cecum	9478265	642189	8598060	880205
SCV2-Week8-Mouse20	28896026	1790435	26524872	2371154
SCV2-Week8-Mouse2-Cecum	37163993	1819865	34633607	2530386
SCV2-Week8-Mouse2-Small-Intestine	1572315	92392	1447088	125227
SCV2-Week8-Mouse2	33677704	1575152	31530138	2147566
SCV2-Week8-Mouse3-Cecum	35013631	2553899	31854257	3159374
SCV2-Week8-Mouse3-Small-Intestine	16127846	580092	15320138	807708
SCV2-Week8-Mouse3	31440580	1620483	29290572	2150008
SCV2-Week8-Mouse4-Cecum	28722825	3916495	24265774	4457051
SCV2-Week8-Mouse4-Small-Intestine	1714819	175952	1493495	221324
SCV2-Week8-Mouse4	6808556	469904	6193051	615505
SCV2-Week8-Mouse5-Cecum	338183	21442	298438	39745
SCV2-Week8-Mouse5-Small-Intestine	1074249	217884	822275	251974
SCV2-Week8-Mouse5	27537817	1504384	25505292	2032525
SCV2-Week8-Mouse6-Cecum	21358486	1503400	19441611	1916875
SCV2-Week8-Mouse6-Small-Intestine	5072933	327662	4686672	386261
SCV2-Week8-Mouse6	16360812	10654572	5564075	10796737
SCV2-Week8-Mouse7-Cecum	20384585	1328572	18706626	1677959
SCV2-Week8-Mouse7-Small-Intestine	12932931	330236	12519921	413010
SCV2-Week8-Mouse7	36093782	2398780	33028615	3065167
SCV2-Week8-Mouse8-Cecum	3497145	203609	3230161	266984
SCV2-Week8-Mouse8-Small-Intestine	3403299	699927	2667312	735987
SCV2-Week8-Mouse8	29659004	1499690	27674655	1984349
SCV2-Week8-Mouse9-Cecum	32006592	1666239	29811006	2195586
SCV2-Week8-Mouse9-Small-Intestine	2257592	149628	2058604	198988
SCV2-Week8-Mouse9	13108	664	8404	4704
SCV2-Week8-MouseSI19	9639918	180182	9388259	251659
SCV2-Week8-MouseSI20	3979497	182291	3745228	234269
