Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
LN_4F06_VL_268	13891540	44790	13660352	231188
LN_4F07_VL_269	12323005	134545	11659190	663815
LN_4F08_VL_270	11240326	129382	10699313	541013
LN_4F09_VL_271	15756418	49748	15337067	419351
LN_4G01_VL_272	10958918	97534	10661618	297300
LN_4G02_VL_273	13214944	35559	12799434	415510
LN_4G03_VL_274	12160671	132165	11845774	314897
LN_4G04_VL_275	13037727	79011	12352385	685342
LN_4G05_VL_276	9760716	71519	9381373	379343
LN_4G06_VL_277	9537088	25637	9280356	256732
LN_4G07_VL_278	12528739	70697	12226371	302368
LN_4G08_VL_279	9300117	149206	9034866	265251
LN_4G09_VL_280	10552981	27094	10341224	211757
LN_4H01_VL_281	12129967	37663	11660225	469742
LN_4H02_VL_282	11058652	51521	10650724	407928
LN_4H03_VL_283	9005082	219355	8475557	529525
LN_4H04_VL_284	15155045	98872	14774093	380952
LN_4H05_VL_285	15908066	201303	15523743	384323
LN_4H06_VL_286	15173557	134251	14818885	354672
LN_4H08_VL_288	16917269	132630	16591578	325691
LN_4H09_VL_289	14481687	122619	14074021	407666
LN_4I01_VL_290	17702007	3609	17593183	108824
LN_4I02_VL_291	10518122	33570	10267005	251117
LN_4I03_VL_292	12696017	9995	12641685	54332
LN_4I05_VL_294	15015703	10462	14866884	148819
LN_4I07_VL_296	15114671	52873	14434202	680469
LN_4I08_VL_297	12583494	2397	12536132	47362
LN_4I09_VL_298	11281329	62406	11106305	175024
LN_6A01_VL_299	9915423	72764	9710895	204528
LN_6A03_VL_301	15847164	11971	15696422	150742
LN_6A07_VL_305	12366433	4491846	6477665	5888768
LN_6A08_VL_306	10779175	2032	10704883	74292
LN_6A09_VL_307	15934094	9838	15730564	203530
LN_6B04_VL_311	14747035	6059	14660154	86881
LN_6B05_VL_312	11352879	10127	11245640	107239
LN_6B07_VL_314	7464961	71983	7158864	306097
LN_6B09_VL_316	10807798	4174	10755340	52458
LN_6C03_VL_319	15877961	53451	15744880	133081
LN_6C04_VL_320	11395606	5211	11322002	73604
LN_6C05_VL_321	13705393	2671	13636088	69305
LN_6C08_VL_324	14884822	42223	14628877	255945
LN_6D05_VL_330	15521690	15748	15398229	123461
LN_6D06_VL_331	10678319	139568	10360055	318264
LN_6D07_VL_332	13974100	11551	13694863	279237
LN_6D08_VL_333	11299737	26187	11188024	111713
LN_6D09_VL_334	10738255	28030	10387771	350484
LN_6E01_VL_335	11102407	198306	10786396	316011
LN_6E02_VL_336	9954787	98045	9670507	284280
LN_6E03_VL_337	10140994	30377	9999990	141004
LN_6E04_VL_338	11061041	63267	10787661	273380
LN_6E05_VL_339	13560274	61028	12842245	718029
LN_6E06_VL_340	12857974	20148	12638938	219036
LN_6E07_VL_341	18758847	578716	17824721	934126
LN_6E08_VL_342	11179968	12840	10857149	322819
LN_6E09_VL_343	12489536	345555	11952966	536570
LN_6F01_VL_344	12960417	205022	12496109	464308
LN_6F02_VL_345	12138469	84234	11861661	276808
LN_6F03_VL_346	17752824	164236	17344762	408062
LN_6F04_VL_347	13571345	131047	12602859	968486
LN_6F05_VL_348	13494137	109112	13100347	393790
LN_6F06_VL_349	11624084	41416	11361848	262236
LN_6F07_VL_350	10133971	113278	9868738	265233
LN_6F08_VL_351	23130083	93267	22823658	306425
LN_6F09_VL_352	12853666	51056	12495628	358038
LN_6G01_VL_353	12205203	239321	11401530	803673
LN_6G02_VL_354	12177365	27008	11968027	209338
LN_6G03_VL_355	13364398	76823	13060469	303929
LN_6G04_VL_356	11286802	97747	10991411	295391
LN_6G05_VL_357	17086112	138358	16627652	458460
LN_6G06_VL_358	10706225	85677	10188678	517547
LN_6G07_VL_359	11597997	44340	11210655	387342
LN_6G08_VL_360	10700608	154195	10406111	294497
LN_6G09_VL_361	13793290	21892	13613671	179619
LN_6H01_VL_362	12264253	246004	11645640	618613
LN_6H02_VL_363	12149101	16212	12036101	113000
LN_6H03_VL_364	12107507	137954	7921187	4186320
LN_6H04_VL_365	11079099	970	10986152	92947
LN_6H05_VL_366	10730623	21232	10611344	119279
LN_6H06_VL_367	11067716	1951	11040263	27453
LN_6H07_VL_368	9709770	8990	9663852	45918
LN_6H08_VL_369	10802410	17961	10726639	75771
LN_6H09_VL_370	12604282	40816	12454552	149730
LN_6I01_VL_371	10842827	8177	10746482	96345
LN_6I02_VL_372	17186597	692485	16212458	974139
LN_6I03_VL_373	14087660	209856	13647357	440303
LN_6I04_VL_374	10392221	234216	9846845	545376
LN_6I05_VL_375	13193133	46552	13089916	103217
LN_6I06_VL_376	18498200	10160	18381575	116625
LN_6I07_VL_377	12019103	45640	11762360	256743
LN_6I08_VL_378	10119621	49760	9960049	159572
LN_6I09_VL_379	10716942	1532	10145963	570979
