prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
C11_1-k141_98109_frag_1	C11_1-k141_98109	dormant	0.04323784234141919	0.900342236357462	-0.023974582030605457	35511	0.21659455332145583	0.0	0.5131152919676139	0.18315451550223874	27410	0.2405691353520613	0.0	0.5929688696018102
D3_2-k141_43519_frag_1	D3_2-k141_43519	dormant	0.1641562071985868	0.0	-0.013294504937958977	15209	0.0	0.0	0.0	0.0	47388	0.013294504937958977	0.0	0.11453279476391022
D17_1-k141_7332_frag_1	D17_1-k141_7332	dormant	1.1834031776467187	0.009210773038124842	-1.5143714871633973	24727	0.014078203198112055	0.0	0.258880515293089	0.003073563311360052	37786	1.5284496903615095	1.0	1.7911217718745758
D23_2-k141_3101_frag_1	D23_2-k141_3101	dormant	0.06141020333408787	0.0	-0.0018820577164366374	38366	0.0	0.0	0.0	0.0	23910	0.0018820577164366374	0.0	0.04334184554435758
C3_2-k141_112494_frag_1	C3_2-k141_112494	dormant	0.4372311741186048	0.07998483750423128	-0.1811628356950768	39261	0.0157500447444453	0.0	0.2173884837529444	0.007615700058582308	22934	0.1969128804395221	0.0	0.5441500746468869
A8_2-k141_84990_frag_1	A8_2-k141_84990	dormant	0.6671376936654426	0.01510320478241637	-0.30745059296659977	30967	0.004714696289598605	0.0	0.06850159070047761	0.004714696289598605	30250	0.31216528925619835	0.0	0.648130768703828
C18_2-k141_22054_frag_1	C18_2-k141_22054	dormant	0.03484564484002368	0.8174077432192425	-0.016406894119357737	31764	0.07344847219586259	0.0	0.531284000249954	0.035858204256390885	29592	0.08985536631522033	0.0	0.4014064630600369
C23_1-k141_39005_frag_1	C23_1-k141_39005	dormant	0.7084055337735624	0.05160619308107982	-0.5230597175516368	41117	0.028461932775160494	0.0	0.1662884576809741	0.028358100055937932	19584	0.5515216503267973	0.0	1.0308758396004734
A16_2-k141_71009_frag_1	A16_2-k141_71009	dormant	0.7888707116412431	0.1729555106146571	-0.7057067713730016	34598	0.14758078501647495	0.0	0.4337239187601063	0.12084513555696862	25049	0.8532875563894766	0.0	1.188454844724922
C17_2-k141_150547_frag_1	C17_2-k141_150547	dormant	0.4798863507066527	0.14890504477347283	0.14890504477347283	45266	0.14890504477347283	0.0	0.4388195945025842	0.119361109883798	14421	0.0	0.0	0.0
C19_2-k141_166749_frag_1	C19_2-k141_166749	dormant	0.5545475547353589	0.27124236385613015	0.27124236385613015	30611	0.27124236385613015	0.0	0.6917254009686077	0.18565221652347194	28122	0.0	0.0	0.0
C13_1-k141_111672_frag_1	C13_1-k141_111672	dormant	0.10221927737910215	0.005197237934327481	0.005197237934327481	54602	0.005197237934327481	0.0	0.07190428813487677	0.0051829603311234025	4272	0.0	0.0	0.0
A19_2-k141_81783_frag_1	A19_2-k141_81783	dormant	0.5631134540438427	0.06694909463278029	-0.4586175878084536	34641	0.03290713519468847	0.0	0.6471659468533377	0.0036084408648711067	24188	0.49152472300314204	0.0	0.9527722896338774
C9_2-k141_90044_frag_1	C9_2-k141_90044	dormant	0.7533732356337209	0.15712781750745966	-0.7425302560053332	49723	0.13842212494704778	0.0	0.9548767622181992	0.06862015566236952	8778	0.8809523809523809	1.0	1.0154084732365398
B5_2-k141_37866_frag_1	B5_2-k141_37866	dormant	0.0	0.0	0.0	37307	0.0	0.0	0.0	0.0	20744	0.0	0.0	0.0
C21_2-k141_193279_frag_1	C21_2-k141_193279	dormant	0.06640225481740207	0.0	-0.0021997800219978004	36572	0.0	0.0	0.0	0.0	20002	0.0021997800219978004	0.0	0.046850197329916334
C23_2-k141_163814_frag_1	C23_2-k141_163814	dormant	0.2954894226883233	0.09534403356174917	-0.06399505357907444	26838	0.006744604316546762	0.0	0.08184811927685869	0.00670690811535882	29757	0.0707396578956212	0.0	0.295141798102136
C17_1-k141_48019_frag_1	C17_1-k141_48019	dormant	0.1780571848921814	0.19010261482726604	-0.03303994159231447	37286	0.007755277897457992	0.0	0.11876030080332518	0.004532532317760017	17404	0.040795219489772466	0.0	0.23400760817770805
A15_2-k141_85236_frag_1	A15_2-k141_85236	dormant	0.5612852057780775	68.68467693764015	0.32214124564215696	34506	0.3269006869251368	0.0	0.8057956467491714	0.17947603315365443	19330	0.004759441282979824	0.0	0.09744860329752292
A17_2-k141_1522_frag_1	A17_2-k141_1522	dormant	1.742835416205596	0.0	-2.1576486572890023	28002	0.0	0.0	0.0	0.0	25024	2.1576486572890023	2.0	1.7508113305486361
A12_2-k141_39206_frag_1	A12_2-k141_39206	dormant	0.23422159802651704	0.0	-0.032325703302463746	41103	0.0	0.0	0.0	0.0	11446	0.032325703302463746	0.0	0.19518032670248187
A9_2-k141_185865_frag_1	A9_2-k141_185865	dormant	0.07516912085414705	0.0	-0.0028172391056764372	35631	0.0	0.0	0.0	0.0	16683	0.0028172391056764372	0.0	0.05300285152231712
C19_2-k141_194513_frag_1	C19_2-k141_194513	dormant	0.05950367536314652	0.0017672151127361365	0.0017672151127361365	32970	0.0017672151127361365	0.0	0.042001095979527156	0.0017591750075826508	19325	0.0	0.0	0.0
